epoch,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.0,0.806771655637414,0.8269230769230769,1.6141,837.642,13.63
2.0,0.8610182414788456,0.8705621301775148,1.1975,1129.046,18.372
3.0,0.8859561665177218,0.8875739644970414,1.2003,1126.372,18.329
4.0,0.8816164336623203,0.8779585798816568,1.1969,1129.599,18.381
5.0,0.8899464689154699,0.8875739644970414,1.2105,1116.881,18.174
