epoch,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.0,0.8920010578367876,0.897189349112426,3.7358,361.901,11.51
2.0,0.9013098646344787,0.9038461538461539,3.3263,406.452,12.927
3.0,0.9083744774651998,0.9090236686390533,3.3073,408.798,13.002
4.0,0.9019694171083384,0.9016272189349113,3.3075,408.769,13.001
5.0,0.9106196433942458,0.908284023668639,3.2658,413.989,13.167
